放送局,放送枠,タイトル,主な出演者,あらすじ
NHK,連続テレビ小説,あんぱん,"今田美桜、北村匠海","「アンパンマン」の作者、やなせたかしと小松暢の夫妻をモデルに、戦前から戦後にかけての激動の時代を生き抜いた夫婦の愛と希望の物語。"
NHK,土曜ドラマ,地震のあとで,"岡田将生、鳴海唯","未曾有の災害の後、人々は日常をどう取り戻していくのか。被災地で奮闘する人々の姿を通して、困難の中で見出す希望を描く。"
NHK,夜ドラ,ワタシってサバサバしてるから シーズン2,丸山礼,"大反響を呼んだ自己肯定感最強のヒロイン・網浜奈美が帰ってくる。新たな環境で巻き起こる騒動と、彼女のブレない生き様を描く痛快コメディ。"
日本テレビ,土曜ドラマ,なんで私が神説教,"広瀬アリス、渡辺翔太","平凡な生活を送っていた主人公が、ある日突然「神」を名乗る男と出会い、世の中の悩める人々を救うための「説教」をさせられることに。奇想天外なコメディドラマ。"
日本テレビ,日曜ドラマ,ダメマネ！ －ダメなタレント、マネジメントしますー,"川栄李奈、安田顕","やる気のない「ダメ」なタレントばかりが集まる芸能事務所を舞台に、新米マネージャーがタレントたちと共に再起を目指す、笑いと涙のサクセスストーリー。"
日本テレビ,スペシャルドラマ,俺の話は長い ～2025・春～,"生田斗真、安田顕、小池栄子","5年ぶりにあの岸辺家が帰ってくる。屁理屈ばかりのニート・岸辺満と、彼を取り巻く家族の日常を描く人気ホームコメディの最新作。"
テレビ朝日,水曜21時,特捜9 final season,"井ノ原快彦、羽田美智子","井ノ原快彦主演の人気刑事ドラマシリーズが、ついにファイナルシーズンを迎える。個性豊かな特捜班のメンバーが、最後の難事件に挑む。"
テレビ朝日,木曜ドラマ,PJ ～航空救難団～,"内野聖陽、神尾楓珠","航空自衛隊の航空救難団、通称「エアレスキュー」を舞台に、人命救助に全てを懸ける隊員たちの熱い人間ドラマを描く。"
テレビ朝日,金曜ナイトドラマ,魔物,"麻生久美子、塩野瑛久","平凡な主婦の心に潜む「魔物」とは何か。ある出来事をきっかけに、彼女の日常が静かに狂い始める様を描く、予測不能のサスペンススリラー。"
TBS,火曜ドラマ,対岸の家事～これが、私の生きる道！～,（未発表）,"詳細は未発表ながら、現代の夫婦や家族が抱える問題を「家事」という視点から切り取る、社会派ホームドラマになると予想される。"
TBS,金曜ドラマ,イグナイト -法の無法者-,"間宮祥太朗、仲村トオル、上白石萌歌","型破りな弁護士たちが、法では裁ききれない悪に立ち向かう。熱い正義感と型破りな手法で事件を解決に導く、爽快リーガルエンターテインメント。"
TBS,日曜劇場,キャスター,"阿部寛、永野芽郁、道枝駿佑","偏屈だが正義感の強いベテランニュースキャスターが、若きディレクターと共に、世の中の不正や隠された真実を暴いていく。報道の現場を舞台にした社会派ヒューマンドラマ。"
テレビ東京,ドラマプレミア23,夫よ、死んでくれないか,"安達祐実、相武紗季、磯山さやか","夫への不満を募らせる3人の妻たち。ある一人の「夫を殺しちゃった」という衝撃の告白から、彼女たちの運命が大きく動き出す。スリリングなサスペンスドラマ。"
テレビ東京,ドラマ24,ディアマイベイビー～私があなたを支配するまで～,"松下由樹、野村康太","女手一つで息子を育て上げ、全てを捧げてきた母。しかし、息子の自立をきっかけに、その歪んだ愛情が暴走を始める。母と子の関係性を描く衝撃作。"
テレビ東京,金曜8時のドラマ,失踪人捜索班 消えた真実,"町田啓太、小泉孝太郎","警察内に新設された「失踪人捜索班」を舞台に、卓越した洞察力を持つ主人公が、失踪者の足取りから隠された真実を読み解いていくミステリードラマ。"
フジテレビ,月9,続・続・最後から二番目の恋,"小泉今日子、中井貴一","あの名作ドラマが再び帰ってくる。古都・鎌倉を舞台に、吉野千明と長倉和平、そして長倉家の面々が織りなす、大人の青春と日常を描く。"
フジテレビ,火9,人事の人見,"松田元太（Travis Japan）、前田敦子","大企業の人事部を舞台に、ピュアで熱すぎる主人公が、現代社会の様々な「働き方」の悩みに真っ向から立ち向かっていくお仕事エンターテインメント。"
フジテレビ,水10,Dr.アシュラ,"松本若菜、佐野晶哉（Aぇ! group）","「ゴッドハンド」の異名を持つ天才救命医・杏野朱羅。彼女は、どんな患者も見捨てず、あらゆる手段を使って命を救う。一話完結の医療ドラマ。"
フジテレビ,木曜劇場,波うららかに、めおと日和,"芳根京子、本田響矢","昭和を舞台に、恋愛に不慣れな新婚夫婦が、少しずつ絆を深めていく姿を温かく描く。心温まるラブコメディ。"
